,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
34,0.8043764,2.7822394,0.2751151,2.2885478,1.1690996,-1.9335746,-0.26754758,1.0266652,-0.060636654,0.13161545,-0.071445905,2.0,15.571636,-6.358722,15,-6
35,0.77668214,2.8676834,0.2590308,2.2932565,1.1688683,-1.943379,-0.32836354,0.8827827,-0.18471186,0.12984341,-0.07045532,2.0,15.499659,-6.6551366,15,-6
36,0.7442433,2.9413931,0.23338287,2.2984881,1.1687038,-1.9478558,-0.38928288,0.7655794,-0.3111935,0.14472583,-0.06975718,2.0,15.433457,-6.9251456,15,-6
37,0.70704526,3.0060227,0.19881551,2.305142,1.1685865,-1.9491075,-0.45040345,0.6807436,-0.41842136,0.16557798,-0.069260396,2.0,15.3763275,-7.1613393,15,-7
38,0.66507584,3.0640182,0.15710168,2.3132577,1.1685032,-1.9502352,-0.5116602,0.61796916,-0.49846488,0.18146846,-0.068901345,2.0,15.330231,-7.3479385,15,-7
39,0.6183299,3.1166444,0.110179275,2.3221714,1.1684444,-1.9537143,-0.57289934,0.5612712,-0.5549166,0.18564633,-0.06863861,2.0,15.287833,-7.508112,15,-7
40,0.56681436,3.1638646,0.059499938,2.3308928,1.1684037,-1.96063,-0.63397586,0.49771,-0.5969176,0.17664835,-0.06844629,2.0,15.250994,-7.680179,15,-7
41,0.5105448,3.2048078,0.005832368,2.3384697,1.1683761,-1.9707547,-0.69482183,0.4216448,-0.63321733,0.15689501,-0.068307675,2.0,15.2111,-7.84308,15,-7
42,0.44953835,3.2384138,-0.05057189,2.3442004,1.1683578,-1.9831185,-0.75545585,0.33448833,-0.6686214,0.13027029,-0.06821057,2.0,15.17138,-8.014584,15,-8
43,0.3838098,3.2639325,-0.10965323,2.347668,1.168346,-1.9966595,-0.8159442,0.24173036,-0.7033577,0.10002848,-0.06814482,2.0,15.129853,-8.194855,15,-8
44,0.31336686,3.2811322,-0.17124996,2.3486466,1.1683384,-2.0106678,-0.87635124,0.14941995,-0.7345291,0.06773372,-0.0681015,2.0,15.090308,-8.358105,15,-8
45,0.2382156,3.2902403,-0.23494323,2.3469687,1.1683338,-2.0249257,-0.93671006,0.061713062,-0.7582951,0.03327172,-0.068073116,2.0,15.052905,-8.517479,15,-8
46,0.15835945,3.2917364,-0.30005288,2.3424172,1.1683309,-2.039601,-0.9970245,-0.019934554,-0.7716528,-0.004464144,-0.06805399,2.0,15.014941,-8.671412,15,-8
47,0.073801875,3.2861345,-0.36573258,2.3346817,1.1683292,-2.0550272,-1.0572907,-0.096200734,-0.7732437,-0.046733912,-0.068040416,2.0,14.9758215,-8.8145075,14,-8
