,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
0,0.5293654,-0.17731747,0.27935007,2.2716606,-0.23822775,-2.3408961,0.12528831,-0.029244162,0.17651372,0.09845588,-0.044088617,1.0,-20.814133,-13.542149,-20,-13
1,0.5261744,-0.17397174,0.28017434,2.2715535,-0.22810425,-2.3134155,0.036590837,0.03263633,0.19740874,0.09310781,0.20362374,1.0,-20.822622,-13.422471,-20,-13
2,0.5165218,-0.16483635,0.28189653,2.271224,-0.19779228,-2.286478,-0.05202201,0.08215247,0.20450024,0.091162905,0.44944274,1.0,-20.837635,-13.285866,-20,-13
3,0.5004137,-0.15105739,0.28383532,2.2708323,-0.14744687,-2.2605488,-0.14051709,0.12165813,0.20464404,0.090959854,0.6933637,1.0,-20.851465,-13.137532,-20,-13
4,0.4778617,-0.13365415,0.2856626,2.270457,-0.07722364,-2.2360783,-0.22877048,0.15141244,0.20166971,0.09156604,0.93537956,1.0,-20.874426,-12.979155,-20,-12
5,0.4488932,-0.11368758,0.28724414,2.2701323,0.012721485,-2.213507,-0.316516,0.17047536,0.19763337,0.09247635,1.1754895,1.0,-20.906185,-12.826626,-20,-12
6,0.41360918,-0.0924436,0.28854856,2.2698698,0.12167716,-2.183348,-0.38453087,0.20424274,0.1932116,0.09304452,1.3922966,1.0,-20.939497,-12.68614,-20,-12
7,0.38794947,-0.03884219,0.28936836,2.269433,0.23971593,-1.9436804,-0.075388305,0.7257154,0.18484965,0.088608846,1.4098966,1.0,-20.761387,-12.253728,-20,-12
8,0.38337472,0.056548074,0.28892702,2.2688937,0.3580539,-1.7674539,0.19225472,1.0246507,0.158702,0.089114115,1.3993223,1.0,-20.62538,-11.85027,-20,-11
9,0.39652574,0.1762031,0.28678906,2.2684572,0.47416717,-1.6387172,0.40984342,1.1991935,0.13504039,0.091464564,1.3554199,1.0,-20.489561,-11.539654,-20,-11
10,0.42358693,0.30018818,0.27774382,2.2681956,0.5855043,-1.5607412,0.57348955,1.1101669,-0.046402596,0.094396204,1.2824506,1.0,-20.380068,-11.335681,-20,-11
11,0.46054968,0.41581133,0.25934312,2.2681112,0.68920505,-1.5161097,0.6815075,1.0406344,-0.14157268,0.096950576,1.1685448,1.0,-20.264929,-11.150193,-20,-11
12,0.50346386,0.5262178,0.23748347,2.2681699,0.7825621,-1.4981116,0.7374812,1.0110172,-0.14893007,0.09885677,1.0291767,1.0,-20.135561,-10.981103,-20,-10
13,0.5487726,0.63492,0.217226,2.2683282,0.864111,-1.5013778,0.7483619,1.0084434,-0.09470594,0.10008394,0.87934273,1.0,-19.995628,-10.8181715,-19,-10
14,0.59350276,0.7445449,0.20216553,2.268544,0.93344665,-1.5190333,0.7235583,1.030781,0.003525845,0.10066342,0.72966516,1.0,-19.818848,-10.638091,-19,-10
15,0.63560724,0.8579058,0.19448027,2.2687407,0.99078125,-1.5389661,0.6798802,1.0819948,0.12185146,0.09964674,0.58462596,1.0,-19.577053,-10.44551,-19,-10
16,0.6743612,0.9768373,0.19455709,2.2687883,1.0365993,-1.5563924,0.63255894,1.1369456,0.232593,0.096381195,0.4479259,2.0,-19.321844,-10.254656,-19,-10
17,0.70879656,1.1089447,0.2278556,2.2533462,1.0871534,-1.6114092,0.5623578,1.334734,1.1006196,-0.38420355,0.6991294,2.0,-19.27743,-9.449996,-19,-9
18,0.73874134,1.2346411,0.30269518,2.2077892,1.1548575,-1.7380166,0.5335819,0.5852419,1.0729929,-0.8057137,0.68077236,1.0,-19.055948,-9.104491,-19,-9
19,0.76772404,1.2989545,0.34221154,2.166463,1.1931356,-1.6952685,0.5053534,0.65310043,0.5055927,-0.29648343,0.21651496,1.0,-18.477365,-9.521323,-18,-9
20,0.79370356,1.3800459,0.3534106,2.153478,1.2036585,-1.6386286,0.4520438,0.88256925,0.21204725,0.08011745,-0.019101534,1.0,-18.070095,-9.711881,-18,-9
21,0.8153954,1.4753324,0.35030562,2.1560419,1.2005842,-1.6259109,0.39156073,0.9014203,0.06917792,0.19258907,-0.13346715,1.0,-17.799944,-9.6606045,-17,-9
22,0.83263916,1.5715777,0.34096208,2.1631126,1.1897067,-1.6272497,0.33087033,0.89228207,0.018191203,0.22163855,-0.21998446,2.0,-17.60579,-9.578129,-17,-9
23,0.84570956,1.6331967,0.33041432,2.156856,1.1771209,-1.7361386,0.27731478,0.23240827,0.02626726,-0.2219887,-0.17695953,1.0,-16.585785,-8.974745,-16,-8
24,0.8543239,1.6899974,0.32120138,2.1477275,1.1608878,-1.65406,0.20849189,0.7952262,0.054407563,0.13116941,-0.30733296,1.0,-17.290062,-9.505262,-17,-9
25,0.8582112,1.7764941,0.31340057,2.149742,1.1367266,-1.6590103,0.14758351,0.8023792,0.06916222,0.12574905,-0.37086967,2.0,-17.161411,-9.52092,-17,-9
26,0.8573253,1.8280877,0.306755,2.1368928,1.1205451,-1.7581463,0.0772679,0.12772766,0.087559454,-0.3316262,-0.112677366,1.0,-15.935703,-9.046122,-15,-9
27,0.85132074,1.8744925,0.30178022,2.120892,1.1097909,-1.6742241,0.0076324265,0.6991985,0.11643804,0.0266357,-0.23767658,2.0,-16.841629,-9.597749,-16,-9
28,0.84018075,1.9147522,0.29790604,2.1017184,1.104465,-1.7742027,-0.064299636,0.014608017,0.122611634,-0.42966595,0.019500058,1.0,-15.396031,-9.128623,-15,-9
29,0.8238441,1.9528265,0.29505447,2.0810046,1.1041629,-1.6784979,-0.13412435,0.65298057,0.14418559,-0.02230066,-0.11431221,2.0,-16.522264,-9.742791,-16,-9
30,0.8023002,1.9878713,0.29275706,2.0587144,1.1088897,-1.7793754,-0.20806976,-0.038448095,0.1419047,-0.47788915,0.14187628,1.0,-14.992606,-9.2548275,-14,-9
31,0.77552605,2.021561,0.291094,2.0354521,1.1184285,-1.6794128,-0.27666628,0.6220976,0.15997006,-0.0535437,0.003891014,1.0,-16.17558,-9.9112215,-16,-9
32,0.74402386,2.091507,0.29037797,2.0262668,1.1197627,-1.6789944,-0.33822545,0.6566457,0.17047979,-0.03862382,-0.05882632,2.0,-16.074167,-10.033132,-16,-10
33,0.707528,2.1262476,0.28939068,2.0029533,1.1290069,-1.781354,-0.41423613,-0.046707615,0.15545437,-0.4934839,0.19682133,1.0,-14.564645,-9.567517,-14,-9
34,0.66581154,2.156297,0.28855947,1.9776195,1.1431706,-1.6892469,-0.48049596,0.5606752,0.17097881,-0.10253828,0.06279282,2.0,-15.66651,-10.180466,-15,-10
35,0.6198969,2.1830142,0.2876488,1.9508979,1.1489543,-1.8041755,-0.5309981,-0.10541776,0.15703472,-0.53627336,-0.0022754555,1.0,-14.220746,-9.832484,-14,-9
36,0.56959885,2.2064211,0.28699616,1.9225961,1.1486958,-1.710899,-0.5990789,0.49209478,0.17436166,-0.15221065,-0.09151954,2.0,-15.316235,-10.366854,-15,-10
37,0.514657,2.2254531,0.2863104,1.892514,1.1456773,-1.8233422,-0.6594465,-0.18295227,0.16023627,-0.5907882,-0.071573585,1.0,-13.842478,-10.057986,-13,-10
