,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
0,1.3301886498552753,0.053475603605627864,-0.006247603191285757,-0.8731616500785683,0.7889509270417319,3.2105823313733617,-1.215684392116127,0.40961069760254837,-1.035228382382005,3.9113916229353514,-0.2768158012157862,2.0,10.526642,5.498749,10,5
1,1.3203163258677375,0.06143269693311653,-0.009470461060522082,-0.8408205134895749,0.7849194857551678,3.309015513347665,-1.2535667772696537,1.5794101870427584,0.22805238692261065,4.174628302013912,-0.730720122196419,2.0,8.390704,6.857366,8,6
2,1.3096575338673206,0.06854597778840994,-0.01330793951008379,-0.8093396002321506,0.7798958651818916,3.166525890676032,-1.4096609483552074,0.19903270060600292,-1.1858420569668504,3.6946397188405538,-0.5251095825059108,2.0,10.589012,5.369337,10,5
3,1.2983089165932398,0.0744086503521256,-0.01866668323280692,-0.7778413506896287,0.771860071522109,3.2732065095657568,-1.4288032747407047,1.2667764355776128,-0.15499268005210692,4.180598198551313,-1.4829765529191306,2.0,8.731286,7.9261193,8,7
4,1.28641837673758,0.08141747913200881,-0.023595993247661273,-0.7445687416152766,0.7603804316071455,3.2097699165062683,-1.543352211692828,0.4857746436068462,-1.0762195052217836,4.137082767281846,-1.3869587557185252,2.0,9.338159,8.578826,9,8
5,1.2737974383835444,0.08659937918351798,-0.031028215753307203,-0.7107793625221532,0.7475588910864099,3.23893181328222,-1.6123522627187488,0.809729209268514,-0.7821549847360151,4.310420833453539,-1.8180190721326202,2.0,9.071292,8.887492,9,8
6,1.2605240955182062,0.08845267225128209,-0.04314749296081864,-0.6756276346830671,0.7304023267767136,3.162560425174063,-1.706172101586631,-0.34538504829510236,-2.2457745595285887,4.477180285652009,-2.4703608493446576,2.0,9.060299,11.13639,9,11
7,1.2467280338068818,0.0909717276192941,-0.05525004139498711,-0.6389274771526047,0.7063762052881285,3.2604276089582442,-1.743562562813641,0.9745266916648514,-0.7816381695705764,4.698416502730136,-3.535117652726244,2.0,7.763409,12.150763,7,12
8,1.2323346049882185,0.09380967666138541,-0.06728192729290185,-0.6015912640378873,0.6761925730428298,3.160117406966762,-1.8544116893169227,-0.2644334008151055,-2.2245085291924522,4.635205230664119,-4.010097353897258,2.0,6.859656,13.052654,6,13
9,1.2173852573253583,0.09732471355024334,-0.07929319973191948,-0.5626836032679012,0.6392455920997104,3.2790190655959393,-1.8842752708179251,1.1426250760619876,-0.7799492712184866,5.092366654662304,-5.225642104127187,2.0,5.7520046,14.60518,5,14
10,1.2019203656158783,0.10154724636856285,-0.09131192637919495,-0.5219893329234283,0.5933206670372896,3.1789367671423148,-1.9814743655486708,-0.08666448647661595,-2.2228337072740807,5.080965543785687,-6.254251829343863,2.0,4.537108,15.572303,4,15
11,1.1859144144270237,0.10672670711249851,-0.10336173425520591,-0.47889236347399816,0.5392030131479956,3.3102740291361137,-2.0220640519945783,1.381018297428861,-0.7911493968537795,5.693894871386544,-7.2746559731516065,2.0,4.1964765,17.101202,4,17
