,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
0,-0.094650544,0.0079168035,1.2046158,1.3267425,-0.27100095,-2.2992728,0.1252622,-0.019064676,0.13257615,0.038683992,0.0044671204,4.0,-14.548111,-23.0182,-14,-23
1,-0.09672057,-0.05466117,1.1840253,1.3266691,-0.2609686,-2.345697,0.05109415,-0.8567263,-0.4080023,0.035590995,0.26096642,4.0,-13.914502,-23.116045,-13,-23
2,-0.10313571,-0.18081194,1.1418858,1.32633,-0.231071,-2.3252144,-0.027155183,-0.87296796,-0.43426263,0.033513777,0.5119607,4.0,-13.660246,-23.08997,-13,-23
3,-0.11400512,-0.3107526,1.097321,1.325869,-0.18159749,-2.3065531,-0.10553793,-0.9079408,-0.47166702,0.033064205,0.7610543,4.0,-13.337323,-23.026539,-13,-23
4,-0.12933719,-0.44577134,1.0500286,1.3254058,-0.11270033,-2.2885096,-0.18402468,-0.94139385,-0.50590664,0.03337545,1.0081581,4.0,-12.988658,-22.927252,-12,-22
5,-0.14913131,-0.5858564,1.0002308,1.3249943,-0.024534965,-2.2716732,-0.2623981,-0.97615486,-0.5374755,0.03400186,1.2532821,4.0,-12.636742,-22.79039,-12,-22
6,-0.1733725,-0.73126304,0.9481659,1.3246326,0.08274448,-2.2564867,-0.34027916,-1.01294,-0.56546336,0.034358703,1.4964486,4.0,-12.291072,-22.722113,-12,-22
7,-0.19289199,-0.8668221,0.89151055,1.3238888,0.20263998,-2.0538988,-0.08556318,-0.84923685,-0.6587756,0.027659006,1.571935,4.0,-12.026903,-22.29165,-12,-22
8,-0.19776842,-0.97602713,0.8301545,1.3227035,0.3282582,-1.8723041,0.15881911,-0.6613915,-0.6869039,0.025552526,1.6497728,4.0,-11.672581,-21.820047,-11,-21
9,-0.18980496,-1.0608802,0.7674298,1.3214363,0.45767668,-1.7309309,0.36422417,-0.5183549,-0.69510746,0.025770882,1.6693724,4.0,-11.412818,-21.36449,-11,-21
10,-0.17139724,-1.1255742,0.7049127,1.3202394,0.5872315,-1.6200023,0.52529037,-0.38881078,-0.6816369,0.026768764,1.6532751,4.0,-11.261398,-20.971912,-11,-20
11,-0.1451328,-1.1729074,0.64361763,1.3191487,0.7147213,-1.5361009,0.64039445,-0.28440595,-0.6630914,0.027768517,1.6163793,4.0,-11.121339,-20.665833,-11,-20
12,-0.11359016,-1.2067349,0.58367366,1.3181418,0.83890295,-1.4759433,0.7113263,-0.20713818,-0.64621985,0.028395338,1.5683565,4.0,-11.074201,-20.382463,-11,-20
13,-0.07917996,-1.2317082,0.5248797,1.316795,0.9591779,-1.4388223,0.7419921,-0.16410498,-0.6331246,0.022351407,1.5160116,4.0,-11.167653,-20.153805,-11,-20
